epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1062.58,0.83441,0.67854,1.21699,0.81507,0.818,0.90122,0.65457,1.08229,1.02094,1.53275,0.000330233,0.000330233,0.000330233
83,1074.64,0.84519,0.78235,1.23808,0.84125,0.78833,0.89602,0.6563,1.08359,1.03912,1.51764,0.000313729,0.000313729,0.000313729
84,1086.6,0.82862,0.67326,1.21388,0.89228,0.7672,0.87386,0.63325,1.10889,0.99611,1.54945,0.000297226,0.000297226,0.000297226
85,1098.45,0.8465,0.69098,1.22821,0.90093,0.7917,0.8916,0.64931,1.06853,0.96324,1.47855,0.000280723,0.000280723,0.000280723
86,1110.26,0.81439,0.64824,1.21257,0.9011,0.85964,0.89983,0.66659,1.10193,0.92006,1.5449,0.00026422,0.00026422,0.00026422
87,1122.05,0.82453,0.65726,1.22921,0.90561,0.7686,0.88857,0.64328,1.02179,1.12848,1.42158,0.000247716,0.000247716,0.000247716
88,1134,0.79703,0.65845,1.20224,0.8392,0.78729,0.87742,0.6449,1.03596,1.03165,1.46327,0.000231213,0.000231213,0.000231213
89,1146.2,0.80664,0.65058,1.21515,0.85902,0.81696,0.90153,0.64603,1.10806,1.04319,1.50115,0.00021471,0.00021471,0.00021471
90,1157.95,0.82217,0.66007,1.20552,0.89604,0.77538,0.90917,0.6451,1.07963,0.94342,1.49674,0.000198206,0.000198206,0.000198206
91,1198.92,0.65513,0.4824,1.15582,0.93809,0.77557,0.88116,0.62328,1.09026,0.87679,1.52316,0.000181703,0.000181703,0.000181703
92,1211.02,0.63576,0.4061,1.14606,0.8556,0.76815,0.87491,0.65045,1.04309,0.96102,1.44683,0.0001652,0.0001652,0.0001652
93,1222.58,0.63326,0.41049,1.1523,0.88803,0.80225,0.88787,0.65292,1.01366,0.84334,1.48103,0.000148696,0.000148696,0.000148696
94,1234.32,0.62434,0.39771,1.14429,0.83905,0.85047,0.87349,0.65055,1.01672,0.89101,1.47333,0.000132193,0.000132193,0.000132193
95,1246.39,0.59062,0.38283,1.10533,0.9305,0.82633,0.89369,0.65596,1.03241,0.89933,1.49542,0.00011569,0.00011569,0.00011569
96,1258.73,0.60025,0.38075,1.10276,0.80392,0.82615,0.88298,0.64452,1.0536,0.94308,1.51508,9.91865e-05,9.91865e-05,9.91865e-05
97,1271.35,0.59901,0.37208,1.10962,0.86146,0.82527,0.89128,0.66425,1.02413,0.89285,1.46995,8.26832e-05,8.26832e-05,8.26832e-05
98,1282.99,0.58282,0.36985,1.10516,0.81466,0.85606,0.90091,0.65549,0.99277,0.9048,1.45772,6.61799e-05,6.61799e-05,6.61799e-05
99,1294.6,0.59154,0.36194,1.12237,0.80878,0.84865,0.89112,0.64927,1.00332,0.96361,1.45457,4.96766e-05,4.96766e-05,4.96766e-05
100,1306.19,0.61411,0.405,1.14664,0.81643,0.84667,0.88974,0.65294,1.01658,0.93846,1.46802,3.31733e-05,3.31733e-05,3.31733e-05
